"RCTrack","RCDate","RCRace","ProgNum","PostPosition","Horse","Jockey","MLOdds"
"GP",05/02/2020,1.00,"1","01","Wind Ridge","Zayas E J","12-1"
"GP",05/02/2020,1.00,"2","02","Coach Temple","Lebron V","8-1"
"GP",05/02/2020,1.00,"3","03","Constitutional Pal","Lopez P","12-1"
"GP",05/02/2020,1.00,"4","04","Elusive Ruler","Landeros C","5-1"
"GP",05/02/2020,1.00,"5","05","Turn of Events","Saez L","5-2"
"GP",05/02/2020,1.00,"6","06","Win d'Oro","Gaffalione T","20-1"
"GP",05/02/2020,1.00,"7","07","East Lex","Jaramillo E","6-1"
"GP",05/02/2020,1.00,"8","08","Lascari","Zayas E J","12-1"
"GP",05/02/2020,1.00,"9","09","Mighty Tough","Rodriguez A A","20-1"
"GP",05/02/2020,1.00,"10","10","Hero d'Oro","Ortiz I Jr","9-2"
"GP",05/02/2020,1.00,"11","11","Maine","Torres C A","20-1"
"GP",05/02/2020,1.00,"12","12","Irked","Meneses M","15-1"
"GP",05/02/2020,2.00,"1","01","London Werewolf","Lebron V","8-1"
"GP",05/02/2020,2.00,"2","02","King's Castle","Zayas E J","6-1"
"GP",05/02/2020,2.00,"3","03","Baba Tobi","Martinez G A","12-1"
"GP",05/02/2020,2.00,"4","04","Fives Wild","Berrios Hector I","6-1"
"GP",05/02/2020,2.00,"5","05","Sighted","Olsson F","12-1"
"GP",05/02/2020,2.00,"6","06","Nacho Papa","Jaramillo E","9-2"
"GP",05/02/2020,2.00,"7","07","Luckytobeinamerica","Gaffalione T","5-2"
"GP",05/02/2020,2.00,"8","08","Gran Causeway","Fuentes M","7-2"
"GP",05/02/2020,2.00,"9","09","American Rock Salt","Torres C A","30-1"
"GP",05/02/2020,3.00,"1","01","Ajhar","Ortiz I Jr","9-2"
"GP",05/02/2020,3.00,"2","02","Superfecto","Jaramillo E","8-1"
"GP",05/02/2020,3.00,"3","03","Rag Tag","Davis D","12-1"
"GP",05/02/2020,3.00,"4","04","Or'effice","Saez L","3-5"
"GP",05/02/2020,3.00,"5","05","Hard Lighting","Reyes L","12-1"
"GP",05/02/2020,3.00,"6","06","Cornbread Kingdom","Gaffalione T","15-1"
"GP",05/02/2020,3.00,"7","07","Newsworthy","Zayas E J","6-1"
"GP",05/02/2020,4.00,"1","01","Teenage Kicks","Ortiz I Jr","7-2"
"GP",05/02/2020,4.00,"2","02","Little Miss Macho","Torres C A","15-1"
"GP",05/02/2020,4.00,"3","03","Invaluable","Lopez P","9-2"
"GP",05/02/2020,4.00,"4","04","Kay's Dream","Vasquez M A","12-1"
"GP",05/02/2020,4.00,"5","05","Chez Paree","Davis D","6-1"
"GP",05/02/2020,4.00,"6","06","Our Little Devil","Fuentes M","12-1"
"GP",05/02/2020,4.00,"7","07","Private Message","Saez L","6-1"
"GP",05/02/2020,4.00,"8","08","Espiritu de Luna","Gaffalione T","10-1"
"GP",05/02/2020,4.00,"9","09","She So Naughty","Zayas E J","3-1"
"GP",05/02/2020,5.00,"1","01","Dr Harlan","Torres C A","10-1"
"GP",05/02/2020,5.00,"2","02","Followhisfootsteps","Saez L","4-1"
"GP",05/02/2020,5.00,"3","03","Zalza","Berrios Hector I","8-1"
"GP",05/02/2020,5.00,"4","04","Finnegan","Davis D","7-2"
"GP",05/02/2020,5.00,"5","05","Valdocco","Fuentes M","9-2"
"GP",05/02/2020,5.00,"6","06","Jamaican","Lopez P","12-1"
"GP",05/02/2020,5.00,"7","07","Silent Tiger","Gaffalione T","8-1"
"GP",05/02/2020,5.00,"8","08","Phish Fan","Jaramillo E","6-1"
"GP",05/02/2020,5.00,"9","09","Charge Card","Rodriguez A A","20-1"
"GP",05/02/2020,5.00,"10","10","Pachanga Party","Vasquez M A","30-1"
"GP",05/02/2020,5.00,"11","11","Black Pepper","Lebron V","15-1"
"GP",05/02/2020,6.00,"1","01","Smitten for Smitty","Fuentes M","12-1"
"GP",05/02/2020,6.00,"2","02","Sweetheart Deal","Ortiz I Jr","4-1"
"GP",05/02/2020,6.00,"3","03","Loriloupies","Jaramillo E","5-2"
"GP",05/02/2020,6.00,"4","04","Glory Dia","Reyes L","12-1"
"GP",05/02/2020,6.00,"5","05","Customerexperience","Lopez P","3-1"
"GP",05/02/2020,6.00,"6","06","Freezer Burn","Gaffalione T","6-1"
"GP",05/02/2020,6.00,"7","07","One Hot Drama","Zayas E J","10-1"
"GP",05/02/2020,6.00,"8","08","Fast Fionnuala","Saez L","6-1"
"GP",05/02/2020,7.00,"1","01","Handsome Lil Devil","Bravo J","6-1"
"GP",05/02/2020,7.00,"2","02","Poppy's Boys","Rodriguez A A","5-1"
"GP",05/02/2020,7.00,"3","03","Positive Phil","Gaffalione T","4-1"
"GP",05/02/2020,7.00,"4","04","Conquistador","Zayas E J","12-1"
"GP",05/02/2020,7.00,"5","05","My G P S","Reyes L R","15-1"
"GP",05/02/2020,7.00,"6","06","Lookin At Roses","Ortiz I Jr","7-2"
"GP",05/02/2020,7.00,"7","07","Ole Mole","Lopez P","15-1"
"GP",05/02/2020,7.00,"8","08","Smell of Roses","Saez L","8-1"
"GP",05/02/2020,7.00,"9","09","January Won","Landeros C","20-1"
"GP",05/02/2020,7.00,"10","10","Bebeau","Davis D","12-1"
"GP",05/02/2020,7.00,"11","11","Vita Dolce","Torres C A","15-1"
"GP",05/02/2020,7.00,"12","12","Notsosubtle","Jaramillo E","20-1"
"GP",05/02/2020,7.00,"13","13","Juan Boly","Reyes L","20-1"
"GP",05/02/2020,7.00,"14","14","Dizzy Sight","Vasquez M A","6-1"
"GP",05/02/2020,8.00,"1","01","Just for One Day","Davis D","10-1"
"GP",05/02/2020,8.00,"2","02","Overdeliver","Ortiz I Jr","3-1"
"GP",05/02/2020,8.00,"3","03","Kid Bourbon","Lopez P","5-2"
"GP",05/02/2020,8.00,"4","04","Be Gone Daddy","Vasquez M A","20-1"
"GP",05/02/2020,8.00,"5","05","Allurstra","Reyes L","12-1"
"GP",05/02/2020,8.00,"6","06","Gump","Gaffalione T","8-1"
"GP",05/02/2020,8.00,"7","07","Sandino Ruler","Jaramillo E","15-1"
"GP",05/02/2020,8.00,"8","08","Cool Bobby","Zayas E J","4-1"
"GP",05/02/2020,8.00,"9","09","Beau Luminarie","Saez L","6-1"
"GP",05/02/2020,9.00,"1","01","Envoutante","Davis D","8-5"
"GP",05/02/2020,9.00,"2","02","Highland Glory","Saez L","9-2"
"GP",05/02/2020,9.00,"3","03","Mimina's Team","Zayas E J","6-1"
"GP",05/02/2020,9.00,"4","04","Micheline","Bravo J","15-1"
"GP",05/02/2020,9.00,"5","05","Onyx","Vasquez M A","20-1"
"GP",05/02/2020,9.00,"6","06","Stunning Sky","Gaffalione T","15-1"
"GP",05/02/2020,9.00,"7","07","La Rusia","Berrios Hector I","30-1"
"GP",05/02/2020,9.00,"8","08","Diamonds Are A","Juarez N","30-1"
"GP",05/02/2020,9.00,"9","09","Astoria Kitten","Jaramillo E","12-1"
"GP",05/02/2020,9.00,"10","10","Ivyetsu","Landeros C","12-1"
"GP",05/02/2020,9.00,"11","11","Bajan Girl","Lopez P","15-1"
"GP",05/02/2020,9.00,"12","12","Seducer","Ortiz I Jr","6-1"
"GP",05/02/2020,9.00,"13","13","Ginger Kitty","Torres C A","20-1"
"GP",05/02/2020,9.00,"14","14","Dream Marie","Maragh R","6-1"
"GP",05/02/2020,9.00,"15","15","Pleasant Orb","Saez L","8-1"
"GP",05/02/2020,10.00,"1","01","With Verve","Vasquez M A","20-1"
"GP",05/02/2020,10.00,"2","02","Last Judgment","Gaffalione T","9-2"
"GP",05/02/2020,10.00,"3","03","Network Effect","Ortiz I Jr","2-1"
"GP",05/02/2020,10.00,"4","04","Garter and Tie","Jaramillo E","12-1"
"GP",05/02/2020,10.00,"5","05","Red Crescent","Juarez N","6-1"
"GP",05/02/2020,10.00,"6","06","He Hate Me","Saez L","5-2"
"GP",05/02/2020,10.00,"7","07","Noble Drama","Lopez P","8-1"
"GP",05/02/2020,10.00,"8","08","Royal Squeeze","Zayas E J","10-1"
"GP",05/02/2020,11.00,"1","01","Express Pharoah","Reyes L","20-1"
"GP",05/02/2020,11.00,"2","02","Justinthenickotime","Jaramillo E","20-1"
"GP",05/02/2020,11.00,"3","03","Doc Boy","Bravo J","12-1"
"GP",05/02/2020,11.00,"4","04","Gufo","Ortiz I Jr","3-1"
"GP",05/02/2020,11.00,"5","05","Buy Me Candy","Landeros C","20-1"
"GP",05/02/2020,11.00,"6","06","Summer to Remember","Saez L","9-2"
"GP",05/02/2020,11.00,"7","07","South Bend","Vasquez M A","4-1"
"GP",05/02/2020,11.00,"8","08","Proven Strategies","Davis D","6-1"
"GP",05/02/2020,11.00,"9","09","Don Juan Kitten","Gaffalione T","15-1"
"GP",05/02/2020,11.00,"10","10","Island Commish","Lopez P","8-1"
"GP",05/02/2020,11.00,"11","11","Fame to Famous","Gonzalez S","30-1"
"GP",05/02/2020,11.00,"12","12","Ever Dangerous","Zayas E J","10-1"
"GP",05/02/2020,11.00,"13","13","Extraordinary","Saez L","5-2"
"GP",05/02/2020,12.00,"1","01","She Takes Heart","Meneses M","12-1"
"GP",05/02/2020,12.00,"2","02","Dangerous Woman","Juarez N","20-1"
"GP",05/02/2020,12.00,"3","03","Much About It","Meneses M","15-1"
"GP",05/02/2020,12.00,"4","04","Britesideoftheroad","Bravo J","7-2"
"GP",05/02/2020,12.00,"5","05","La Incondicional","Lopez P","6-1"
"GP",05/02/2020,12.00,"6","06","Paint the Corners","Jaramillo E","8-1"
"GP",05/02/2020,12.00,"7","07","Dance Till Dawn","Rodriguez A A","12-1"
"GP",05/02/2020,12.00,"8","08","Little Code","Saez L","12-1"
"GP",05/02/2020,12.00,"9","09","Beach Dreaming","Zayas E J","6-1"
"GP",05/02/2020,12.00,"10","10","Hotty Toddy","Ortiz I Jr","9-2"
"GP",05/02/2020,12.00,"11","11","Drinks On Me","Davis D","4-1"
