"RCDate","RCTrack","DateHeading","Ordinal","JTCode","Trainer","Starts","Wins","Places","Shows","AvgWinPayoff"
05/02/2020,"TAM","From July 1 to May 1 2020 inclusive",1.00,"T","MOTION H GRAHAM",37.00,6.00,4.00,1.00,8.70
05/02/2020,"TAM","",2.00,"J","Centeno D E",9.00,3.00,1.00,0.00,3.40
05/02/2020,"TAM","",3.00,"T","HERNANDEZ SANDINO R JR",21.00,2.00,2.00,4.00,11.10
05/02/2020,"TAM","",4.00,"J","Martinez W",6.00,2.00,1.00,1.00,11.10
05/02/2020,"TAM","",5.00,"T","MUNOZ CARLOS",35.00,1.00,7.00,5.00,7.00
05/02/2020,"TAM","",6.00,"J","Mejia T B",6.00,0.00,2.00,1.00,0.00
05/02/2020,"TAM","",7.00,"T","WOODARD WALTER H",57.00,7.00,2.00,2.00,33.31
05/02/2020,"TAM","",8.00,"J","Leon J A",8.00,2.00,0.00,1.00,33.70
05/02/2020,"TAM","",9.00,"T","FISHER DAVID",43.00,4.00,4.00,5.00,12.10
05/02/2020,"TAM","",10.00,"J","Mena R",3.00,1.00,0.00,0.00,32.00
05/02/2020,"TAM","",11.00,"T","POTTS RON G JR",48.00,7.00,2.00,12.00,14.06
05/02/2020,"TAM","",12.00,"J","Garcia G",3.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",13.00,"J","Gallardo A A",2.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",14.00,"T","BURNS PATTY A",48.00,1.00,3.00,6.00,15.00
05/02/2020,"TAM","",15.00,"J","Mendez K",2.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",16.00,"J","Hernandez H",2.00,0.00,0.00,1.00,0.00
05/02/2020,"TAM","",17.00,"T","RARICK LYNN",29.00,2.00,2.00,2.00,21.80
05/02/2020,"TAM","",18.00,"J","Allen M",1.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",19.00,"T","GALVAN BALTAZAR",28.00,6.00,4.00,2.00,8.87
05/02/2020,"TAM","",20.00,"J","Hernandez O K",0.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",21.00,"T","CORREAS IGNACIO IV",56.00,9.00,13.00,5.00,9.49
05/02/2020,"TAM","",22.00,"J","Herrera J R",3.00,0.00,2.00,0.00,0.00
05/02/2020,"TAM","",23.00,"J","Martinez W",3.00,0.00,1.00,0.00,0.00
05/02/2020,"TAM","",24.00,"T","NAGLE SARAH",2.00,0.00,1.00,0.00,0.00
05/02/2020,"TAM","",25.00,"J","Centeno D E",1.00,0.00,1.00,0.00,0.00
05/02/2020,"TAM","",26.00,"T","TERRANOVA JOHN P II",33.00,7.00,6.00,2.00,6.43
05/02/2020,"TAM","",27.00,"J","Centeno D E",4.00,2.00,0.00,0.00,8.80
05/02/2020,"TAM","",28.00,"T","OCHOA GERARD",64.00,6.00,9.00,13.00,20.60
05/02/2020,"TAM","",29.00,"J","Hernandez O K",17.00,2.00,2.00,2.00,12.90
05/02/2020,"TAM","",30.00,"J","Urdaneta J J",11.00,1.00,2.00,1.00,78.20
05/02/2020,"TAM","",31.00,"T","SILVA CARLOS H",42.00,8.00,4.00,9.00,11.73
05/02/2020,"TAM","",32.00,"J","Hernandez H",1.00,0.00,0.00,1.00,0.00
05/02/2020,"TAM","",33.00,"T","SWEEZEY J KENT",130.00,18.00,14.00,15.00,18.60
05/02/2020,"TAM","",34.00,"J","Wales G",21.00,5.00,2.00,4.00,16.92
05/02/2020,"TAM","",35.00,"J","Mena R",1.00,0.00,0.00,1.00,0.00
05/02/2020,"TAM","",36.00,"T","HINSLEY DAVID H",59.00,2.00,6.00,10.00,12.10
05/02/2020,"TAM","",37.00,"J","Mejia T B",9.00,1.00,0.00,4.00,10.60
05/02/2020,"TAM","",38.00,"T","DINI MIKE",91.00,17.00,21.00,10.00,12.07
05/02/2020,"TAM","",39.00,"J","Mejia T B",36.00,4.00,10.00,6.00,9.40
05/02/2020,"TAM","",40.00,"J","Allen R D Jr",0.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",41.00,"T","MINIERI JOSEPH",20.00,1.00,1.00,3.00,15.00
05/02/2020,"TAM","",42.00,"J","Spieth S",5.00,1.00,0.00,2.00,15.00
05/02/2020,"TAM","",43.00,"T","VACCAREZZA CARLO",13.00,2.00,2.00,0.00,12.10
05/02/2020,"TAM","",44.00,"J","Gallardo A A",0.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",45.00,"T","LERMAN MICHAEL",5.00,1.00,2.00,1.00,6.60
05/02/2020,"TAM","",46.00,"J","Centeno D E",4.00,1.00,2.00,1.00,6.60
05/02/2020,"TAM","",47.00,"T","RINI ANTHONY",33.00,4.00,5.00,8.00,16.05
05/02/2020,"TAM","",48.00,"J","Feliciano R",6.00,0.00,1.00,3.00,0.00
05/02/2020,"TAM","",49.00,"T","CONNELLY TERESA",30.00,5.00,4.00,1.00,8.36
05/02/2020,"TAM","",50.00,"J","Hernandez H",0.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",51.00,"T","WARD DENNIS",66.00,8.00,11.00,9.00,13.93
05/02/2020,"TAM","",52.00,"J","Feliciano R",0.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",53.00,"T","WASILUK PETER JR",74.00,5.00,2.00,7.00,32.20
05/02/2020,"TAM","",54.00,"J","Lopez C C",34.00,4.00,0.00,3.00,26.60
05/02/2020,"TAM","",55.00,"T","GAFFNEY HUBERT",40.00,2.00,5.00,2.00,21.30
05/02/2020,"TAM","",56.00,"J","Santos A",6.00,1.00,0.00,0.00,38.00
05/02/2020,"TAM","",57.00,"T","LORITO MARIO",37.00,2.00,1.00,7.00,17.60
05/02/2020,"TAM","",58.00,"J","Garcia W A",6.00,0.00,0.00,1.00,0.00
05/02/2020,"TAM","",59.00,"T","ARRIAGADA JUAN",95.00,17.00,19.00,16.00,7.64
05/02/2020,"TAM","",60.00,"J","Mena R",10.00,3.00,3.00,3.00,7.53
05/02/2020,"TAM","",61.00,"T","GOGAS FRANCES",20.00,1.00,4.00,0.00,11.40
05/02/2020,"TAM","",62.00,"J","Spieth S",14.00,1.00,4.00,0.00,11.40
05/02/2020,"TAM","",63.00,"T","GRANITZ ANTHONY J",65.00,12.00,8.00,9.00,11.60
05/02/2020,"TAM","",64.00,"J","Martinez W",10.00,2.00,1.00,1.00,13.40
05/02/2020,"TAM","",65.00,"J","Wales G",1.00,1.00,0.00,0.00,4.60
05/02/2020,"TAM","",66.00,"J","Gallardo A A",13.00,2.00,4.00,3.00,10.60
05/02/2020,"TAM","",67.00,"T","DANNER KELSEY",73.00,10.00,13.00,13.00,9.10
05/02/2020,"TAM","",68.00,"J","Mena R",8.00,1.00,1.00,1.00,5.80
05/02/2020,"TAM","",69.00,"J","Lopez C C",0.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",70.00,"T","MAZZA JOSEPH W",87.00,5.00,7.00,8.00,21.48
05/02/2020,"TAM","",71.00,"J","Suarez A",12.00,0.00,1.00,0.00,0.00
05/02/2020,"TAM","",72.00,"T","PADILLA TIM",62.00,9.00,6.00,7.00,12.04
05/02/2020,"TAM","",73.00,"J","Spieth S",18.00,2.00,2.00,0.00,11.70
05/02/2020,"TAM","",74.00,"T","LUSK BRIAN R",41.00,0.00,1.00,4.00,0.00
05/02/2020,"TAM","",75.00,"J","Lopez J E",3.00,0.00,0.00,1.00,0.00
05/02/2020,"TAM","",76.00,"T","MINSHALL BARBARA J",10.00,3.00,0.00,0.00,19.67
05/02/2020,"TAM","",77.00,"J","Gallardo A A",0.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",78.00,"T","FERRARO M ANTHONY",57.00,7.00,2.00,7.00,15.54
05/02/2020,"TAM","",79.00,"J","Allen R D Jr",2.00,0.00,0.00,1.00,0.00
05/02/2020,"TAM","",80.00,"T","JOHNSON GARY L",70.00,6.00,4.00,9.00,9.20
05/02/2020,"TAM","",81.00,"J","Garcia W A",0.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",82.00,"J","Gallardo A A",0.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",83.00,"T","MENENDEZ PEDRO",22.00,2.00,3.00,1.00,6.50
05/02/2020,"TAM","",84.00,"J","Hernandez H",7.00,1.00,1.00,0.00,6.80
05/02/2020,"TAM","",85.00,"T","RYAN DEREK S",70.00,12.00,9.00,15.00,12.37
05/02/2020,"TAM","",86.00,"J","Wales G",7.00,0.00,1.00,2.00,0.00
05/02/2020,"TAM","",87.00,"T","RICE KEVIN",4.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",88.00,"J","Spieth S",1.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",89.00,"T","RAINES LINDSEY M",48.00,6.00,8.00,7.00,26.03
05/02/2020,"TAM","",90.00,"J","Mena R",5.00,1.00,1.00,0.00,18.60
05/02/2020,"TAM","",91.00,"T","PHILIPP KARYN",17.00,2.00,3.00,0.00,3.90
05/02/2020,"TAM","",92.00,"J","Santos A",1.00,0.00,1.00,0.00,0.00
05/02/2020,"TAM","",93.00,"T","ALI ALNAZ",27.00,1.00,0.00,2.00,4.80
05/02/2020,"TAM","",94.00,"J","Lopez J E",3.00,0.00,0.00,1.00,0.00
05/02/2020,"TAM","",95.00,"T","FLORES DAVID R",7.00,0.00,1.00,0.00,0.00
05/02/2020,"TAM","",96.00,"J","Flores D R",4.00,0.00,1.00,0.00,0.00
05/02/2020,"TAM","",97.00,"T","CARVAJAL LUIS JR",59.00,5.00,7.00,6.00,21.96
05/02/2020,"TAM","",98.00,"J","Centeno D E",7.00,2.00,2.00,0.00,8.40
05/02/2020,"TAM","",99.00,"T","DOBBER ARNOUD W",37.00,2.00,4.00,3.00,13.20
05/02/2020,"TAM","",100.00,"J","Wales G",37.00,2.00,4.00,3.00,13.20
05/02/2020,"TAM","",101.00,"T","ESCOBAR ALISON",39.00,1.00,8.00,5.00,6.20
05/02/2020,"TAM","",102.00,"J","Lopez C C",12.00,1.00,4.00,0.00,6.20
05/02/2020,"TAM","",103.00,"T","SCOTT JOAN",33.00,5.00,3.00,7.00,10.08
05/02/2020,"TAM","",104.00,"J","Spieth S",7.00,2.00,1.00,1.00,15.40
05/02/2020,"TAM","",105.00,"T","MACHADO FRANCISCO S JR",2.00,1.00,0.00,1.00,12.40
05/02/2020,"TAM","",106.00,"J","Almeida M",2.00,1.00,0.00,1.00,12.40
05/02/2020,"TAM","",107.00,"T","DOMINGUEZ LUIS R",39.00,4.00,2.00,3.00,21.75
05/02/2020,"TAM","",108.00,"J","Leon J A",1.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",109.00,"T","RAYMOND ROBERT A",118.00,7.00,14.00,19.00,29.71
05/02/2020,"TAM","",110.00,"J","Marin A A",11.00,1.00,1.00,3.00,77.80
05/02/2020,"TAM","",111.00,"T","SHANNON JENNIFER",57.00,0.00,4.00,6.00,0.00
05/02/2020,"TAM","",112.00,"J","Mejia T B",5.00,0.00,0.00,2.00,0.00
05/02/2020,"TAM","",113.00,"T","BOYCE MICHELE",41.00,2.00,7.00,10.00,12.10
05/02/2020,"TAM","",114.00,"J","Hernandez O K",3.00,0.00,0.00,1.00,0.00
05/02/2020,"TAM","",115.00,"T","GULICK JAMES M",25.00,4.00,3.00,3.00,16.85
05/02/2020,"TAM","",116.00,"J","Lopez J E",3.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",117.00,"T","RODRIGUEZ ANGEL M",3.00,0.00,1.00,0.00,0.00
05/02/2020,"TAM","",118.00,"J","Gallardo A A",0.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",119.00,"J","Mena R",0.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",120.00,"T","BOWERSOCK MARIA",135.00,13.00,17.00,17.00,9.74
05/02/2020,"TAM","",121.00,"J","Allen R D Jr",123.00,12.00,15.00,16.00,10.20
05/02/2020,"TAM","",122.00,"T","GLYSHAW TIM",44.00,5.00,4.00,9.00,7.36
05/02/2020,"TAM","",123.00,"J","Suarez A",28.00,5.00,2.00,6.00,7.36
05/02/2020,"TAM","",124.00,"T","WRIGHT MICHAEL W",40.00,7.00,5.00,8.00,11.09
05/02/2020,"TAM","",125.00,"J","Wales G",14.00,3.00,2.00,1.00,15.13
05/02/2020,"TAM","",126.00,"T","BENNETT GERALD S",208.00,49.00,42.00,33.00,7.03
05/02/2020,"TAM","",127.00,"J","Centeno D E",28.00,10.00,3.00,4.00,4.60
05/02/2020,"TAM","",128.00,"J","Santos A",17.00,3.00,2.00,4.00,8.60
05/02/2020,"TAM","",129.00,"T","BELHUMEUR JULIE",17.00,1.00,1.00,3.00,30.80
05/02/2020,"TAM","",130.00,"J","Cotto P L Jr",0.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",131.00,"T","O'CONNELL KATHLEEN",142.00,25.00,11.00,20.00,8.10
05/02/2020,"TAM","",132.00,"J","Gallardo A A",57.00,10.00,3.00,10.00,7.12
05/02/2020,"TAM","",133.00,"T","BLAIR JORDAN",35.00,8.00,9.00,2.00,6.80
05/02/2020,"TAM","",134.00,"J","Villa-Gomez H",2.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",135.00,"T","CARRASCO VICTOR JR",49.00,9.00,6.00,2.00,15.09
05/02/2020,"TAM","",136.00,"J","Martinez W",0.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",137.00,"T","MACHADO ANTONIO",72.00,10.00,4.00,5.00,15.42
05/02/2020,"TAM","",138.00,"J","Suarez A",6.00,0.00,0.00,1.00,0.00
05/02/2020,"TAM","",139.00,"J","Hernandez H",6.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",140.00,"T","DURR ZOLLIE",10.00,0.00,0.00,2.00,0.00
05/02/2020,"TAM","",141.00,"J","Alencar W",2.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",142.00,"T","MILLER RORY C",23.00,2.00,2.00,5.00,8.80
05/02/2020,"TAM","",143.00,"J","Rivera J L Jr",1.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",144.00,"T","HAMM TIMOTHY",86.00,10.00,13.00,11.00,19.62
05/02/2020,"TAM","",145.00,"J","Suarez A",53.00,6.00,7.00,4.00,25.43
05/02/2020,"TAM","",146.00,"T","WILSON TONY",45.00,2.00,6.00,6.00,28.00
05/02/2020,"TAM","",147.00,"J","Santos A",0.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",148.00,"T","CLARK TOM A",19.00,2.00,1.00,5.00,24.50
05/02/2020,"TAM","",149.00,"J","Wales G",6.00,1.00,0.00,3.00,42.00
05/02/2020,"TAM","",150.00,"T","GONZALEZ ALDANA",31.00,3.00,2.00,5.00,22.40
05/02/2020,"TAM","",151.00,"J","Spieth S",29.00,3.00,2.00,5.00,22.40
05/02/2020,"TAM","",152.00,"T","ARBORITANZA JOSEPH",64.00,6.00,8.00,8.00,24.00
05/02/2020,"TAM","",153.00,"J","Mendez K",4.00,1.00,0.00,0.00,90.00
05/02/2020,"TAM","",154.00,"J","Coa K J",1.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",155.00,"T","WESTLYE KENNETH",47.00,1.00,3.00,4.00,11.80
05/02/2020,"TAM","",156.00,"J","Urdaneta J J",0.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",157.00,"T","AVILA JUAN C",53.00,10.00,5.00,9.00,17.50
05/02/2020,"TAM","",158.00,"J","Centeno D E",7.00,3.00,0.00,2.00,6.67
05/02/2020,"TAM","",159.00,"J","Garcia W A",0.00,0.00,0.00,0.00,0.00
05/02/2020,"TAM","",160.00,"J","Suarez A",6.00,0.00,0.00,1.00,0.00
