"RCTrack","RCDate","RCRace","Horse","FD","BestFastDirt","BestTurf","BestWet","BestDistance","BestLifetime","BestCurrentYear","BestPriorYear","BestTrackSurface","MudTurfMud","MudTurfTurf","MudTurfDistance"
"RP",05/02/2020,1,"Three Six Ocean Dr","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,1,"Called to Freedom","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,1,"Wickedly Corona","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,1,"Spike My Punch","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,1,"Bv Shameless","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,1,"Aprils Inseperable","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,1,"Jessies Molly D","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,1,"Ellens Hero","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,1,"Lota Paydirt","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,1,"Capture de Stars","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,2,"Git Her Dun Goldie","DP",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,2,"Dangerous Dan McGrew","DP",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,2,"Capo de Quick","DP",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,2,"Livewires Apple","DP",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,2,"Steele Runner","DP",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,2,"Imatreasuredpyc","DP",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,2,"Rilynn June","DP",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,2,"Black Barrel","DP",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,2,"Bv Snow Chrome","DP",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,2,"Cuz Shez Pure Country","DP",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,3,"Merrilees Valentine","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,3,"Steel Furrst","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,3,"Shez Dashn by Trains","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,3,"Jess My Lips","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,3,"Overserved","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,3,"Hez Got a Caboose","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,3,"Sm Countryquikprince","DP",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,3,"Apex Eagle","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,3,"Inseperable Hd","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,3,"Frisco Candy Man","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,4,"Tres of Phoebe","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,4,"Simply Flying Angel","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,4,"Desirable Attitude","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,4,"Jj Flyinginthewind","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,4,"Cartel Get Away","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,4,"Kool Effort","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,4,"She Walks On Water","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,4,"Birdies Babe","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,4,"Second Tour","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,4,"Jo Shake Em","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,5,"Mario Cat Tale","DP",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,5,"Sm Lexis Littlebit","DP",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,5,"Wicked App Memories","DO",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,5,"Call Sign Chaos","DO",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,5,"Jess Cruzin","DO",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,5,"Hesa Dashingcrawfish","DO",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,5,"Wl Alley Cat","DP",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,6,"Sw Artemisia","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,6,"Weapon First Bug","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,6,"Lay Zz","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,6,"Change Furr Better","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,6,"Srd Travelin Soldier","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,6,"Apollos Dashn Cowboy","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,6,"Z Corona","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,6,"Lota Jail Time","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,7,"Apollitical J Flash","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,7,"Heza Classy Now","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,7,"One Coldhearted Diva","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,7,"Kiss My Happy Hips","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,7,"One Famous Mystery V","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,7,"Lethal Timber","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,7,"Fear the Dragon","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,7,"Nsm Disco Dancer","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,7,"Two B Or Not Two B","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,7,"Steal the Candy","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,8,"Summon","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,8,"Jessies Brown Eaglet","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,8,"Reigning Kisses","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,8,"Sweet Candy Jewel","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,8,"Jm Southern Express","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,8,"Boots N Gems","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,8,"Ur El Modelo","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,8,"Southern Lips","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,9,"Hot Dam Bam a Lam","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,9,"Apocalyptical Jess","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,9,"Valiant Tiberias","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,9,"Mpshinning","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,9,"Senator Fast Jack","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,9,"Shockinglyfamous","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,9,"Dexxter","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,9,"Jordan Eagle","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,9,"Apollitical J Twin 1","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,9,"Mi Amor Secreto","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,9,"Dashing Sweet Brujo","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,9,"Consigliere","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,10,"Reserection","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,10,"Sage Franklin","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,10,"Sizzling Secret V","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,10,"Catch This Rose","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,10,"Carters Angel","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,10,"Poker Pot Legacy","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,10,"Strike Force Six","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,10,"A Ruby Corona","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,10,"Corona Cobra","DQ",0,0,0,0,0,0,0,0,"-","-","-"
"RP",05/02/2020,10,"Brujas Seven Tales","DQ",0,0,0,0,0,0,0,0,"-","-","-"
